A: Number,A: Height,A: Jump duration,B: Number,B: Height,B: Jump duration
4,800,7.55,2,400,3.85
2,400,3.85,3,600,5.7
3,800,3.7,4,400,5.55
4,400,5.55,3,800,3.7
2,800,5.85,3,400,7.7
3,400,7.7,2,800,5.85
2,800,5.85,4,600,3.55
4,600,3.55,2,800,5.85
2,600,7.85,4,400,5.55
4,400,5.55,2,600,7.85
